"seqnames","start","end","width","strand","V4","V5","V6","V7","V8","V9","V10","annotation","geneChr","geneStart","geneEnd","geneLength","geneStrand","geneId","transcriptId","distanceToTSS","ENSEMBL","SYMBOL","GENENAME"
"chr11",99985539,99986381,843,"*","ZF27_neurog2_peak_270",50,".",6.36532,9.16908,5.09929,186,"Promoter (<=1kb)",11,99984710,99986597,1888,2,"100504183","ENSMUST00000105050.3",216,"ENSMUSG00000078253","Krtap16-1","keratin associated protein 16-1"
"chr11",100628962,100629245,284,"*","ZF27_neurog2_peak_271",183,".",12.7306,22.8722,18.3796,97,"Exon (ENSMUST00000103119.9/278304, exon 8 of 8)",11,100623011,100626117,3107,1,"71966","ENSMUST00000142993.1",5951,"ENSMUSG00000017837","Nkiras2","NFKB inhibitor interacting Ras-like protein 2"
"chr11",100817347,100817743,397,"*","ZF27_neurog2_peak_272",16,".",4.24355,5.30939,1.68841,61,"Intron (ENSMUST00000107358.8/20851, intron 1 of 18)",11,100780731,100822528,41798,2,"20851","ENSMUST00000107358.8",4785,"ENSMUSG00000020919","Stat5b","signal transducer and activator of transcription 5B"
"chr11",101467725,101468032,308,"*","ZF27_neurog2_peak_273",27,".",4.95081,6.54091,2.73004,67,"Promoter (<=1kb)",11,101468175,101471853,3679,1,"11858","ENSMUST00000001347.6",-143,"ENSMUSG00000001313","Rnd2","Rho family GTPase 2"
"chr11",101477468,101477715,248,"*","ZF27_neurog2_peak_274",63,".",7.07258,10.5539,6.39365,104,"Distal Intergenic",11,101468175,101471853,3679,1,"11858","ENSMUST00000001347.6",9293,"ENSMUSG00000001313","Rnd2","Rho family GTPase 2"
"chr11",103014127,103014556,430,"*","ZF27_neurog2_peak_275",63,".",7.07258,10.5539,6.39365,225,"Promoter (2-3kb)",11,102994047,103017168,23122,2,"68087","ENSMUST00000021313.8",2612,"ENSMUSG00000020935","Dcakd","dephospho-CoA kinase domain containing"
"chr11",109011646,109012073,428,"*","ZF27_neurog2_peak_276",136,".",10.6089,18.0313,13.6208,234,"Distal Intergenic",11,108943621,108950783,7163,1,"12006","ENSMUST00000139682.1",68025,"ENSMUSG00000000142","Axin2","axin 2"
"chr11",114656228,114656559,332,"*","ZF27_neurog2_peak_277",27,".",4.95081,6.54091,2.73004,165,"Distal Intergenic",11,114668524,114672331,3808,1,"67671","ENSMUST00000106602.9",-11965,"ENSMUSG00000057322","Rpl38","ribosomal protein L38"
"chr11",114685206,114686247,1042,"*","ZF27_neurog2_peak_278",233,".",14.8524,27.9248,23.3699,358,"Intron (ENSMUST00000045779.5/117160, intron 1 of 13)",11,114675516,114690603,15088,1,"117160","ENSMUST00000141111.1",9690,"ENSMUSG00000034714","Ttyh2","tweety family member 2"
"chr11",114795384,114795990,607,"*","ZF27_neurog2_peak_279",151,".",11.3161,19.6192,15.1778,318,"Promoter (<=1kb)",11,114791217,114795873,4657,2,"72014","ENSMUST00000156053.7",0,"ENSMUSG00000000202","Btbd17","BTB domain containing 17"
"chr11",115233666,115234585,920,"*","ZF27_neurog2_peak_280",106,".",9.19436,14.9412,10.6014,276,"Intron (ENSMUST00000061450.6/320534, intron 9 of 9)",11,115249169,115265429,16261,2,"14813","ENSMUST00000003351.12",30844,"ENSMUSG00000020734","Grin2c","glutamate receptor, ionotropic, NMDA2C (epsilon 3)"
"chr11",115608547,115608818,272,"*","ZF27_neurog2_peak_281",50,".",6.36532,9.16908,5.09929,167,"Exon (ENSMUST00000106507.8/69674, exon 5 of 5)",11,115608512,115612126,3615,2,"69674","ENSMUST00000148574.1",3308,"ENSMUSG00000020743","Mif4gd","MIF4G domain containing"
"chr11",116286340,116286956,617,"*","ZF27_neurog2_peak_282",120,".",9.90162,16.4713,12.0919,184,"Intron (ENSMUST00000238971.1/ENSMUST00000238971.1, intron 1 of 2)",11,116289063,116290480,1418,2,"53413","ENSMUST00000141938.7",3524,"ENSMUSG00000020792","Exoc7","exocyst complex component 7"
"chr11",116287243,116287684,442,"*","ZF27_neurog2_peak_283",63,".",7.07258,10.5539,6.39365,138,"Promoter (2-3kb)",11,116289063,116290480,1418,2,"53413","ENSMUST00000141938.7",2796,"ENSMUSG00000020792","Exoc7","exocyst complex component 7"
"chr11",116592728,116593336,609,"*","ZF27_neurog2_peak_284",120,".",9.90162,16.4713,12.0919,119,"Promoter (<=1kb)",11,116593687,116597545,3859,1,"11298","ENSMUST00000021160.9",-351,"ENSMUSG00000020804","Aanat","arylalkylamine N-acetyltransferase"
"chr11",118172526,118172912,387,"*","ZF27_neurog2_peak_285",16,".",4.24355,5.30939,1.68841,2,"Intron (ENSMUST00000100181.10/19157, intron 10 of 13)",11,118164166,118212742,48577,2,"19157","ENSMUST00000106302.8",39830,"ENSMUSG00000017132","Cyth1","cytohesin 1"
"chr11",118470333,118470617,285,"*","ZF27_neurog2_peak_286",16,".",4.24355,5.30939,1.68841,137,"Distal Intergenic",11,118476829,118489209,12381,1,"217364","ENSMUST00000135383.8",-6212,"ENSMUSG00000033857","Engase","endo-beta-N-acetylglucosaminidase"
"chr11",118727940,118728262,323,"*","ZF27_neurog2_peak_287",27,".",4.95081,6.54091,2.73004,54,"Intron (ENSMUST00000117731.7/52897, intron 2 of 13)",11,118489764,118761041,271278,2,"52897","ENSMUST00000103023.7",32779,"ENSMUSG00000025576","Rbfox3","RNA binding protein, fox-1 homolog (C. elegans) 3"
"chr11",118739156,118740243,1088,"*","ZF27_neurog2_peak_288",151,".",11.3161,19.6192,15.1778,230,"Intron (ENSMUST00000117731.7/52897, intron 2 of 13)",11,118489764,118761041,271278,2,"52897","ENSMUST00000103023.7",20798,"ENSMUSG00000025576","Rbfox3","RNA binding protein, fox-1 homolog (C. elegans) 3"
"chr11",118972850,118973180,331,"*","ZF27_neurog2_peak_289",91,".",8.4871,13.4432,9.14962,106,"Distal Intergenic",11,118988188,118992841,4654,1,"238011","ENSMUST00000092373.12",-15008,"ENSMUSG00000046697","Enpp7","ectonucleotide pyrophosphatase/phosphodiesterase 7"
"chr11",119282573,119283000,428,"*","ZF27_neurog2_peak_290",38,".",5.65807,7.82968,3.87359,183,"Intron (ENSMUST00000106259.8/14387, intron 15 of 19)",11,119278876,119279488,613,1,"14387","ENSMUST00000138510.1",3697,"ENSMUSG00000025579","Gaa","glucosidase, alpha, acid"
"chr11",120261817,120262112,296,"*","ZF27_neurog2_peak_291",38,".",5.65807,7.82968,3.87359,250,"Intron (ENSMUST00000122148.7/268515, intron 3 of 27)",11,120236699,120292282,55584,1,"268515","ENSMUST00000118987.1",25118,"ENSMUSG00000039741","Bahcc1","BAH domain and coiled-coil containing 1"
"chr12",3109867,3110126,260,"*","ZF27_neurog2_peak_292",101317,".",2095.61,10137.3,10131.8,91,"Distal Intergenic",12,3235504,3241410,5907,1,"74173","ENSMUST00000178074.7",-125378,NA,"Rab10os","RAB10, member RAS oncogene family, opposite strand"
"chr12",4219944,4220471,528,"*","ZF27_neurog2_peak_293",50,".",6.36532,9.16908,5.09929,337,"Intron (ENSMUST00000111169.9/52504, intron 3 of 5)",12,4196004,4216546,20543,2,"52504","ENSMUST00000146261.1",-3398,"ENSMUSG00000020652","Cenpo","centromere protein O"
"chr12",8197632,8198034,403,"*","ZF27_neurog2_peak_294",285,".",16.9742,33.1595,28.5569,305,"Intron (ENSMUST00000217927.1/ENSMUST00000217927.1, intron 1 of 3)",12,8208107,8285759,77653,1,"68832","ENSMUST00000037383.12",-10073,"ENSMUSG00000037669","Ldah","lipid droplet associated hydrolase"
"chr12",12828069,12828325,257,"*","ZF27_neurog2_peak_295",16,".",4.24355,5.30939,1.68841,0,"Distal Intergenic",12,12936096,12940616,4521,2,"18109","ENSMUST00000130990.1",112291,"ENSMUSG00000037169","Mycn","v-myc avian myelocytomatosis viral related oncogene, neuroblastoma derived"
"chr12",12937984,12939051,1068,"*","ZF27_neurog2_peak_296",167,".",12.0234,21.2333,16.7627,240,"Promoter (1-2kb)",12,12936096,12940616,4521,2,"18109","ENSMUST00000130990.1",1565,"ENSMUSG00000037169","Mycn","v-myc avian myelocytomatosis viral related oncogene, neuroblastoma derived"
"chr12",18405671,18406094,424,"*","ZF27_neurog2_peak_297",50,".",6.36532,9.16908,5.09929,322,"Distal Intergenic",12,18514510,18535254,20745,1,"236366","ENSMUST00000177778.8",-108416,"ENSMUSG00000073197","5730507C01Rik","RIKEN cDNA 5730507C01 gene"
"chr12",20882311,20882701,391,"*","ZF27_neurog2_peak_298",27,".",4.95081,6.54091,2.73004,35,"Intron (ENSMUST00000140360.7/ENSMUST00000140360.7, intron 3 of 3)",12,20804381,20815779,11399,2,"69513","ENSMUST00000189625.1",-66532,"ENSMUSG00000099759","1700030C10Rik","RIKEN cDNA 1700030C10 gene"
"chr12",30578590,30578941,352,"*","ZF27_neurog2_peak_299",38,".",5.65807,7.82968,3.87359,135,"Distal Intergenic",12,30584426,30591215,6790,1,"211986","ENSMUST00000057151.9",-5485,"ENSMUSG00000043061","Tmem18","transmembrane protein 18"
"chr12",36105765,36106228,464,"*","ZF27_neurog2_peak_300",50,".",6.36532,9.16908,5.09929,106,"Intron (ENSMUST00000020856.5/66912, intron 9 of 11)",12,36103473,36109770,6298,2,"66912","ENSMUST00000222055.1",3542,"ENSMUSG00000020547","Bzw2","basic leucine zipper and W2 domains 2"
"chr12",36464224,36464514,291,"*","ZF27_neurog2_peak_301",27,".",4.95081,6.54091,2.73004,265,"Intron (ENSMUST00000221452.1/75847, intron 3 of 9)",12,36382180,36688592,306413,1,"75847","ENSMUST00000221177.1",82044,"ENSMUSG00000043153","Crppa","CDP-L-ribitol pyrophosphorylase A"
"chr12",43345257,43345534,278,"*","ZF27_neurog2_peak_302",38,".",5.65807,7.82968,3.87359,54,"Intron (ENSMUST00000217732.1/ENSMUST00000217732.1, intron 2 of 2)",12,42967078,43034217,67140,2,"102636207","ENSMUST00000219475.1",-311040,"ENSMUSG00000112407","Gm33340","predicted gene, 33340"
"chr12",46708192,46708488,297,"*","ZF27_neurog2_peak_303",16,".",4.24355,5.30939,1.68841,148,"Intron (ENSMUST00000021438.7/664883, intron 4 of 4)",12,46701075,46720859,19785,2,"664883","ENSMUST00000219886.1",12371,"ENSMUSG00000021047","Nova1","NOVA alternative splicing regulator 1"
"chr12",49532130,49532529,400,"*","ZF27_neurog2_peak_304",216,".",14.1452,26.2191,21.6838,297,"Distal Intergenic",12,49476991,49480862,3872,2,"69054","ENSMUST00000187665.1",-51268,"ENSMUSG00000100844","1810007C17Rik","RIKEN cDNA 1810007C17 gene"
"chr12",52928066,52928618,553,"*","ZF27_neurog2_peak_305",63,".",7.07258,10.5539,6.39365,249,"Intron (ENSMUST00000095737.4/238161, intron 5 of 13)",12,52795836,53148763,352928,1,"238161","ENSMUST00000219786.1",132230,"ENSMUSG00000061603","Akap6","A kinase anchor protein 6"
"chr12",67059190,67059929,740,"*","ZF27_neurog2_peak_306",1657,".",62.946,170.491,165.718,299,"Intron (ENSMUST00000037181.15/320772, intron 1 of 16)",12,66471515,67221042,749528,2,"320772","ENSMUST00000222167.1",161113,"ENSMUSG00000034912","Mdga2","MAM domain containing glycosylphosphatidylinositol anchor 2"
"chr12",70422535,70422953,419,"*","ZF27_neurog2_peak_307",547,".",26.8758,59.4512,54.7468,214,"Distal Intergenic",12,70453095,70468040,14946,1,"72736","ENSMUST00000021471.12",-30142,"ENSMUSG00000021072","Tmx1","thioredoxin-related transmembrane protein 1"
"chr12",72636162,72636529,368,"*","ZF27_neurog2_peak_308",38,".",5.65807,7.82968,3.87359,318,"Intron (ENSMUST00000208307.1/ENSMUST00000208307.1, intron 1 of 4)",12,72650353,72664754,14402,2,"66375","ENSMUST00000221750.1",28225,"ENSMUSG00000021094","Dhrs7","dehydrogenase/reductase 7"
"chr12",74072306,74072675,370,"*","ZF27_neurog2_peak_309",27,".",4.95081,6.54091,2.73004,191,"Intron (ENSMUST00000221220.1/238266, intron 1 of 6)",12,73997799,74155261,157463,1,"238266","ENSMUST00000221073.1",74507,"ENSMUSG00000044912","Syt16","synaptotagmin XVI"
"chr12",74803891,74804512,622,"*","ZF27_neurog2_peak_310",790,".",35.3629,83.814,79.0701,537,"Distal Intergenic",12,74897220,75177332,280113,2,"238271","ENSMUST00000042299.3",372820,"ENSMUSG00000034402","Kcnh5","potassium voltage-gated channel, subfamily H (eag-related), member 5"
"chr12",76164427,76164731,305,"*","ZF27_neurog2_peak_311",91,".",8.4871,13.4432,9.14962,117,"Promoter (2-3kb)",12,76120419,76167715,47297,2,"13983","ENSMUST00000110421.8",2984,"ENSMUSG00000021055","Esr2","estrogen receptor 2 (beta)"
"chr12",76781252,76781577,326,"*","ZF27_neurog2_peak_312",106,".",9.19436,14.9412,10.6014,123,"Intron (ENSMUST00000041262.13/211151, intron 3 of 3)",12,76768488,76775911,7424,1,"211151","ENSMUST00000152917.1",12764,"ENSMUSG00000090258","Churc1","churchill domain containing 1"
"chr12",82318340,82318593,254,"*","ZF27_neurog2_peak_313",27,".",4.95081,6.54091,2.73004,144,"Intron (ENSMUST00000166429.8/217692, intron 3 of 22)",12,82311349,82451782,140434,1,"217692","ENSMUST00000053969.6",6991,"ENSMUSG00000042700","Sipa1l1","signal-induced proliferation-associated 1 like 1"
"chr12",85473587,85473874,288,"*","ZF27_neurog2_peak_314",50,".",6.36532,9.16908,5.09929,250,"Promoter (<=1kb)",12,85473890,85477273,3384,1,"14281","ENSMUST00000021674.6",-16,"ENSMUSG00000021250","Fos","FBJ osteosarcoma oncogene"
"chr12",86647636,86647939,304,"*","ZF27_neurog2_peak_315",91,".",8.4871,13.4432,9.14962,164,"Distal Intergenic",12,86678700,86692091,13392,1,"238328","ENSMUST00000021681.3",-30761,"ENSMUSG00000021256","Vash1","vasohibin 1"
"chr12",86699750,86700402,653,"*","ZF27_neurog2_peak_316",151,".",11.3161,19.6192,15.1778,387,"Distal Intergenic",12,86702355,86705964,3610,2,"68737","ENSMUST00000167272.7",5562,"ENSMUSG00000021257","Angel1","angel homolog 1"
"chr12",86824648,86824971,324,"*","ZF27_neurog2_peak_317",38,".",5.65807,7.82968,3.87359,170,"Distal Intergenic",12,86880701,86884798,4098,2,"238330","ENSMUST00000038422.7",59827,"ENSMUSG00000034168","Irf2bpl","interferon regulatory factor 2 binding protein-like"
"chr12",89074750,89075033,284,"*","ZF27_neurog2_peak_318",200,".",13.4379,24.5346,20.0187,132,"Intron (ENSMUST00000167734.7/18191, intron 4 of 7)",12,89193106,90332410,1139305,1,"18191","ENSMUST00000167887.7",-118073,"ENSMUSG00000066392","Nrxn3","neurexin III"
"chr12",93077450,93077727,278,"*","ZF27_neurog2_peak_319",63,".",7.07258,10.5539,6.39365,80,"Distal Intergenic",12,93416458,93444823,28366,2,"75295","ENSMUST00000223202.1",367096,"ENSMUSG00000113164","4930559C10Rik","RIKEN cDNA 4930559C10 gene"
"chr12",97683379,97683752,374,"*","ZF27_neurog2_peak_320",136,".",10.6089,18.0313,13.6208,283,"Distal Intergenic",12,98207453,98216528,9076,2,"14420","ENSMUST00000222703.1",532776,"ENSMUSG00000021003","Galc","galactosylceramidase"
"chr12",98720924,98721240,317,"*","ZF27_neurog2_peak_321",63,".",7.07258,10.5539,6.39365,201,"Intron (ENSMUST00000170188.7/24000, intron 2 of 18)",12,98678483,98733813,55331,2,"24000","ENSMUST00000221535.1",12573,"ENSMUSG00000021009","Ptpn21","protein tyrosine phosphatase, non-receptor type 21"
"chr12",99467698,99468004,307,"*","ZF27_neurog2_peak_322",27,".",4.95081,6.54091,2.73004,152,"Intron (ENSMUST00000176928.2/71375, intron 1 of 2)",12,99387405,99450097,62693,2,"71375","ENSMUST00000177287.1",-17601,"ENSMUSG00000033713","Foxn3","forkhead box N3"
"chr12",100307822,100308069,248,"*","ZF27_neurog2_peak_323",27,".",4.95081,6.54091,2.73004,237,"Intron (ENSMUST00000062957.7/104718, intron 19 of 19)",12,100290285,100302315,12031,1,"100038713","ENSMUST00000220721.1",17537,"ENSMUSG00000113679","Gm10432","predicted gene 10432"
"chr12",101840961,101841252,292,"*","ZF27_neurog2_peak_324",38,".",5.65807,7.82968,3.87359,69,"Intron (ENSMUST00000021605.13/109181, intron 20 of 20)",12,101746565,101819055,72491,2,"23876","ENSMUST00000021603.8",-21906,"ENSMUSG00000021186","Fbln5","fibulin 5"
"chr12",101877142,101877492,351,"*","ZF27_neurog2_peak_325",38,".",5.65807,7.82968,3.87359,152,"Intron (ENSMUST00000021605.13/109181, intron 13 of 20)",12,101873393,101883607,10215,2,"109181","ENSMUST00000177480.1",6115,"ENSMUSG00000021188","Trip11","thyroid hormone receptor interactor 11"
"chr12",104868276,104868649,374,"*","ZF27_neurog2_peak_326",27,".",4.95081,6.54091,2.73004,192,"Intron (ENSMUST00000222624.1/ENSMUST00000222624.1, intron 2 of 2)",12,104771757,104865076,93320,2,"94040","ENSMUST00000223342.1",-3200,"ENSMUSG00000021097","Clmn","calmin"
"chr12",108208906,108209179,274,"*","ZF27_neurog2_peak_327",91,".",8.4871,13.4432,9.14962,74,"Intron (ENSMUST00000222310.1/668158, intron 3 of 5)",12,108199085,108202146,3062,1,"12454","ENSMUST00000223363.1",9821,"ENSMUSG00000021258","Ccnk","cyclin K"
"chr12",108240712,108241412,701,"*","ZF27_neurog2_peak_328",77,".",7.77984,11.9797,7.74668,295,"Intron (ENSMUST00000222310.1/668158, intron 1 of 5)",12,108206345,108275133,68789,2,"668158","ENSMUST00000136175.2",33721,"ENSMUSG00000084883","Ccdc85c","coiled-coil domain containing 85C"
"chr12",108259507,108259799,293,"*","ZF27_neurog2_peak_329",91,".",8.4871,13.4432,9.14962,187,"Intron (ENSMUST00000222310.1/668158, intron 1 of 5)",12,108206345,108275133,68789,2,"668158","ENSMUST00000136175.2",15334,"ENSMUSG00000084883","Ccdc85c","coiled-coil domain containing 85C"
"chr12",112746878,112747351,474,"*","ZF27_neurog2_peak_330",38,".",5.65807,7.82968,3.87359,182,"Promoter (2-3kb)",12,112743964,112744829,866,1,"217882","ENSMUST00000221125.1",2914,"ENSMUSG00000072825","Cep170b","centrosomal protein 170B"
"chr12",112778426,112779028,603,"*","ZF27_neurog2_peak_331",27,".",4.95081,6.54091,2.73004,54,"Exon (ENSMUST00000137195.1/ENSMUST00000137195.1, exon 1 of 1)",12,112766544,112767561,1018,1,"104759","ENSMUST00000222886.1",11882,"ENSMUSG00000052160","Pld4","phospholipase D family member 4"
"chr12",112783399,112784230,832,"*","ZF27_neurog2_peak_332",16,".",4.24355,5.30939,1.68841,285,"Exon (ENSMUST00000124526.1/ENSMUST00000124526.1, exon 7 of 7)",12,112766544,112767561,1018,1,"104759","ENSMUST00000222886.1",16855,"ENSMUSG00000052160","Pld4","phospholipase D family member 4"
"chr12",113424574,113424824,251,"*","ZF27_neurog2_peak_333",27,".",4.95081,6.54091,2.73004,176,"Exon (ENSMUST00000174942.1/ENSMUST00000174942.1, exon 1 of 1)",12,113489511,113492057,2547,1,"238405","ENSMUST00000063317.3",-64687,"ENSMUSG00000051804","Adam6b","a disintegrin and metallopeptidase domain 6B"
"chr12",115175019,115175712,694,"*","ZF27_neurog2_peak_334",50,".",6.36532,9.16908,5.09929,518,"Distal Intergenic",12,115695720,115695794,75,2,"102465205","ENSMUST00000184417.1",520082,"ENSMUSG00000098336","Mir6388","microRNA 6388"
"chr12",115773642,115774139,498,"*","ZF27_neurog2_peak_335",50,".",6.36532,9.16908,5.09929,152,"Intron (ENSMUST00000197202.1/ENSMUST00000197202.1, intron 1 of 1)",12,115695720,115695794,75,2,"102465205","ENSMUST00000184417.1",-77848,"ENSMUSG00000098336","Mir6388","microRNA 6388"
"chr12",120028668,120029016,349,"*","ZF27_neurog2_peak_336",895,".",38.8992,94.3504,89.594,172,"Distal Intergenic",12,119946570,120021246,74677,1,"217951","ENSMUST00000184069.2",82098,"ENSMUSG00000048004","Tmem196","transmembrane protein 196"
"chr13",3372788,3373663,876,"*","ZF27_neurog2_peak_337",200,".",13.4379,24.5346,20.0187,328,"Distal Intergenic",13,3478230,3486177,7948,1,"76937","ENSMUST00000186183.1",-104567,"ENSMUSG00000097709","2810429I04Rik","RIKEN cDNA 2810429I04 gene"
"chr13",3374005,3374256,252,"*","ZF27_neurog2_peak_338",16,".",4.24355,5.30939,1.68841,86,"Distal Intergenic",13,3478230,3486177,7948,1,"76937","ENSMUST00000186183.1",-103974,"ENSMUSG00000097709","2810429I04Rik","RIKEN cDNA 2810429I04 gene"
"chr13",4606163,4606534,372,"*","ZF27_neurog2_peak_339",16,".",4.24355,5.30939,1.68841,186,"Promoter (2-3kb)",13,4607085,4609118,2034,2,"56043","ENSMUST00000220936.1",2584,"ENSMUSG00000045410","Akr1e1","aldo-keto reductase family 1, member E1"
"chr13",10832640,10832895,256,"*","ZF27_neurog2_peak_340",16,".",4.24355,5.30939,1.68841,128,"Distal Intergenic",13,10120484,10360847,240364,2,"12671","ENSMUST00000223242.1",-471793,"ENSMUSG00000046159","Chrm3","cholinergic receptor, muscarinic 3, cardiac"
"chr13",12138026,12138531,506,"*","ZF27_neurog2_peak_341",38,".",5.65807,7.82968,3.87359,242,"Distal Intergenic",13,11771040,12106945,335906,2,"20191","ENSMUST00000220597.1",-31081,"ENSMUSG00000021313","Ryr2","ryanodine receptor 2, cardiac"
"chr13",13754412,13754983,572,"*","ZF27_neurog2_peak_342",50,".",6.36532,9.16908,5.09929,169,"Intron (ENSMUST00000110559.2/17101, intron 46 of 52)",13,13760769,13761332,564,1,"17101","ENSMUST00000221587.1",-5786,"ENSMUSG00000019726","Lyst","lysosomal trafficking regulator"
"chr13",19322040,19322293,254,"*","ZF27_neurog2_peak_343",27,".",4.95081,6.54091,2.73004,64,"Distal Intergenic",13,19357679,19359125,1447,2,"76205","ENSMUST00000196537.4",36832,"ENSMUSG00000003062","Stard3nl","STARD3 N-terminal like"
"chr13",19461399,19461649,251,"*","ZF27_neurog2_peak_344",38,".",5.65807,7.82968,3.87359,53,"Distal Intergenic",13,19465769,19504345,38577,2,"319466","ENSMUST00000221601.1",42696,"ENSMUSG00000114189","9330199G10Rik","RIKEN cDNA 9330199G10 gene"
"chr13",21022062,21022435,374,"*","ZF27_neurog2_peak_345",27,".",4.95081,6.54091,2.73004,163,"Intron (ENSMUST00000021757.4/27052, intron 20 of 20)",13,21010633,21036617,25985,1,"27052","ENSMUST00000222135.1",11429,"ENSMUSG00000021322","Aoah","acyloxyacyl hydrolase"
"chr13",34102658,34104036,1379,"*","ZF27_neurog2_peak_346",1335,".",53.0444,138.304,133.533,706,"Intron (ENSMUST00000222745.1/432745, intron 2 of 4)",13,34084155,34113272,29118,2,"432745","ENSMUST00000222745.1",9236,"ENSMUSG00000113591","4930447K03Rik","RIKEN cDNA 4930447K03 gene"
"chr13",37579585,37580217,633,"*","ZF27_neurog2_peak_347",27,".",4.95081,6.54091,2.73004,483,"Distal Intergenic",13,37778400,37893849,115450,1,"68750","ENSMUST00000122842.7",-198183,"ENSMUSG00000039087","Rreb1","ras responsive element binding protein 1"
"chr13",44869585,44869838,254,"*","ZF27_neurog2_peak_348",106,".",9.19436,14.9412,10.6014,62,"Intron (ENSMUST00000173704.7/16468, intron 4 of 18)",13,44840783,44896481,55699,1,"16468","ENSMUST00000173003.1",28802,"ENSMUSG00000038518","Jarid2","jumonji and AT-rich interaction domain containing 2"
"chr13",45426816,45427118,303,"*","ZF27_neurog2_peak_349",27,".",4.95081,6.54091,2.73004,145,"Distal Intergenic",13,45390927,45411045,20119,1,"218203","ENSMUST00000222178.1",35889,"ENSMUSG00000038175","Mylip","myosin regulatory light chain interacting protein"
"chr13",47238638,47238893,256,"*","ZF27_neurog2_peak_350",27,".",4.95081,6.54091,2.73004,123,"Intron (ENSMUST00000068891.11/218215, intron 5 of 7)",13,47193825,47246417,52593,1,"218215","ENSMUST00000110111.3",44813,"ENSMUSG00000038068","Rnf144b","ring finger protein 144B"
"chr13",48149770,48150157,388,"*","ZF27_neurog2_peak_351",27,".",4.95081,6.54091,2.73004,351,"Intron (ENSMUST00000180921.1/320614, intron 1 of 2)",13,48261228,48266026,4799,1,"15904","ENSMUST00000021810.2",-111071,"ENSMUSG00000021379","Id4","inhibitor of DNA binding 4"
"chr13",50041213,50041591,379,"*","ZF27_neurog2_peak_352",167,".",12.0234,21.2333,16.7627,326,"Distal Intergenic",13,50245181,50250308,5128,2,"380882","ENSMUST00000099521.1",208717,"ENSMUSG00000095300","Gm906","predicted gene 906"
"chr13",51846123,51846477,355,"*","ZF27_neurog2_peak_353",77,".",7.77984,11.9797,7.74668,199,"Promoter (<=1kb)",13,51846678,51848468,1791,1,"23882","ENSMUST00000021903.2",-201,"ENSMUSG00000021453","Gadd45g","growth arrest and DNA-damage-inducible 45 gamma"
"chr13",51902242,51902488,247,"*","ZF27_neurog2_peak_354",16,".",4.24355,5.30939,1.68841,123,"Distal Intergenic",13,51846744,51848224,1481,1,"23882","ENSMUST00000132480.1",55498,"ENSMUSG00000021453","Gadd45g","growth arrest and DNA-damage-inducible 45 gamma"
"chr13",51918957,51919232,276,"*","ZF27_neurog2_peak_355",77,".",7.77984,11.9797,7.74668,215,"Distal Intergenic",13,51846744,51848224,1481,1,"23882","ENSMUST00000132480.1",72213,"ENSMUSG00000021453","Gadd45g","growth arrest and DNA-damage-inducible 45 gamma"
"chr13",54322573,54322873,301,"*","ZF27_neurog2_peak_356",200,".",13.4379,24.5346,20.0187,163,"Intron (ENSMUST00000220818.1/ENSMUST00000220818.1, intron 1 of 1)",13,54302558,54312175,9618,1,"12890","ENSMUST00000223430.1",20015,"ENSMUSG00000025867","Cplx2","complexin 2"
"chr13",62087061,62087479,419,"*","ZF27_neurog2_peak_357",16,".",4.24355,5.30939,1.68841,182,"Intron (ENSMUST00000220886.1/ENSMUST00000220886.1, intron 1 of 1)",13,62129886,62172258,42373,1,"630579","ENSMUST00000221772.1",-42407,"ENSMUSG00000074867","Zfp808","zinc finger protein 808"
"chr13",64607018,64607278,261,"*","ZF27_neurog2_peak_358",27,".",4.95081,6.54091,2.73004,203,"Distal Intergenic",13,64481246,64497792,16547,2,"68880","ENSMUST00000180282.1",-109226,"ENSMUSG00000096537","Fam240b","family with sequence similarity 240 member B"
"chr13",74528470,74530609,2140,"*","ZF27_neurog2_peak_359",567,".",27.5831,61.4255,56.7155,529,"Distal Intergenic",13,74480057,74493992,13936,2,"235956","ENSMUST00000221173.1",-34478,"ENSMUSG00000069208","Zfp825","zinc finger protein 825"
"chr13",84110677,84111019,343,"*","ZF27_neurog2_peak_360",167,".",12.0234,21.2333,16.7627,265,"Distal Intergenic",13,84025297,84064772,39476,2,"553095","ENSMUST00000182477.1",-45905,"ENSMUSG00000098087","Gm17750","predicted gene, 17750"
"chr13",92642567,92642865,299,"*","ZF27_neurog2_peak_361",38,".",5.65807,7.82968,3.87359,84,"Intron (ENSMUST00000049488.8/218442, intron 1 of 11)",13,92611174,92686193,75020,1,"218442","ENSMUST00000224250.1",31393,"ENSMUSG00000021703","Serinc5","serine incorporator 5"
"chr13",95058319,95058682,364,"*","ZF27_neurog2_peak_362",38,".",5.65807,7.82968,3.87359,80,"Intron (ENSMUST00000162412.7/218461, intron 8 of 19)",13,95043468,95053018,9551,2,"218461","ENSMUST00000160412.1",-5301,"ENSMUSG00000021684","Pde8b","phosphodiesterase 8B"
"chr13",95282141,95282413,273,"*","ZF27_neurog2_peak_363",16,".",4.24355,5.30939,1.68841,136,"Distal Intergenic",13,95024454,95250336,225883,2,"218461","ENSMUST00000162412.7",-31805,"ENSMUSG00000021684","Pde8b","phosphodiesterase 8B"
