"seqnames","start","end","width","strand","V4.name","V5.score","V6.strand","V7.signalValue","V8.pValue","V9.qValue","V10.peak","annotation","geneChr","geneStart","geneEnd","geneLength","geneStrand","geneId","transcriptId","distanceToTSS","ENSEMBL","SYMBOL","GENENAME"
"chr10",120377243,120377890,648,"*","ZF11_Nfiabx_peak_871",73,".",6.42667,10.7808,7.3344,498,"Intron (ENSMUST00000041178.11/ENSMUST00000041178.11, intron 2 of 2)",10,120389523,120392793,3271,1,"320626","ENSMUST00000161291.1",-11633,"ENSMUSG00000090191","9230105E05Rik","RIKEN cDNA 9230105E05 gene"
"chr10",121206129,121206663,535,"*","ZF11_Nfiabx_peak_873",238,".",12.4249,27.8764,23.8827,121,"Distal Intergenic",10,121199141,121202649,3509,2,"74647","ENSMUST00000219710.1",-3480,"ENSMUSG00000112846","4930432O09Rik","RIKEN cDNA 4930432O09 gene"
"chr10",122912806,122913547,742,"*","ZF11_Nfiabx_peak_875",115,".",8.14045,15.2565,11.5908,139,"Intron (ENSMUST00000161487.7/319468, intron 8 of 8)",10,122895368,122941449,46082,1,"319468","ENSMUST00000162969.1",17438,"ENSMUSG00000034613","Ppm1h","protein phosphatase 1H (PP2C domain containing)"
"chr10",122931504,122932063,560,"*","ZF11_Nfiabx_peak_876",73,".",6.42667,10.7808,7.3344,145,"Intron (ENSMUST00000067918.11/319468, intron 9 of 9)",10,122895368,122941449,46082,1,"319468","ENSMUST00000162969.1",36136,"ENSMUSG00000034613","Ppm1h","protein phosphatase 1H (PP2C domain containing)"
"chr10",126957494,126957886,393,"*","ZF11_Nfiabx_peak_879",53,".",5.56978,8.70334,5.39692,277,"Promoter (<=1kb)",10,126958023,126960997,2975,1,"102632477","ENSMUST00000217769.1",-137,"ENSMUSG00000112035","Gm30539","predicted gene, 30539"
"chr10",126978594,126979123,530,"*","ZF11_Nfiabx_peak_880",334,".",15.424,37.6281,33.4995,198,"Promoter (<=1kb)",10,126978717,126999969,21253,1,"52468","ENSMUST00000105256.9",0,"ENSMUSG00000078429","Ctdsp2","CTD small phosphatase 2"
"chr10",127063188,127063846,659,"*","ZF11_Nfiabx_peak_882",104,".",7.71201,14.1013,10.4844,144,"Promoter (<=1kb)",10,127063534,127067920,4387,1,"12567","ENSMUST00000006911.11",0,"ENSMUSG00000006728","Cdk4","cyclin dependent kinase 4"
"chr10",127614156,127614731,576,"*","ZF11_Nfiabx_peak_886",53,".",5.56978,8.70334,5.39692,168,"Intron (ENSMUST00000049149.14/16971, intron 1 of 88)",10,127599884,127620922,21039,2,"16971","ENSMUST00000118455.1",6191,"ENSMUSG00000040249","Lrp1","low density lipoprotein receptor-related protein 1"
"chr10",127615785,127616156,372,"*","ZF11_Nfiabx_peak_887",63,".",5.99823,9.72728,6.34853,346,"Intron (ENSMUST00000049149.14/16971, intron 1 of 88)",10,127599884,127620922,21039,2,"16971","ENSMUST00000118455.1",4766,"ENSMUSG00000040249","Lrp1","low density lipoprotein receptor-related protein 1"
"chr10",127621301,127622120,820,"*","ZF11_Nfiabx_peak_888",127,".",8.5689,16.4338,12.7248,246,"Promoter (<=1kb)",10,127587627,127621148,33522,2,"16971","ENSMUST00000125480.1",-153,"ENSMUSG00000040249","Lrp1","low density lipoprotein receptor-related protein 1"
"chr10",128092814,128093400,587,"*","ZF11_Nfiabx_peak_890",63,".",5.99823,9.72728,6.34853,621,"Promoter (<=1kb)",10,128092783,128129303,36521,1,"116848","ENSMUST00000170054.8",31,"ENSMUSG00000040054","Baz2a","bromodomain adjacent to zinc finger domain, 2A"
"chr10",128303014,128303620,607,"*","ZF11_Nfiabx_peak_891",212,".",11.568,25.2158,21.2721,487,"Promoter (<=1kb)",10,128303335,128321353,18019,1,"103135","ENSMUST00000005825.7",0,"ENSMUSG00000005682","Pan2","PAN2 poly(A) specific ribonuclease subunit"
"chr10",128368476,128369032,557,"*","ZF11_Nfiabx_peak_893",63,".",5.99823,9.72728,6.34853,452,"Promoter (<=1kb)",10,128363100,128368691,5592,2,"210582","ENSMUST00000220027.1",0,"ENSMUSG00000039914","Coq10a","coenzyme Q10A"
"chr10",128804512,128805460,949,"*","ZF11_Nfiabx_peak_897",115,".",8.14045,15.2565,11.5908,1316,"Promoter (<=1kb)",10,128805554,128819259,13706,1,"74330","ENSMUST00000217745.1",-94,"ENSMUSG00000025354","Dnajc14","DnaJ heat shock protein family (Hsp40) member C14"
"chr10",128895704,128896428,725,"*","ZF11_Nfiabx_peak_899",83,".",6.85512,11.8621,8.35364,305,"Distal Intergenic",10,128882295,128891718,9424,2,"14561","ENSMUST00000026408.6",-3986,"ENSMUSG00000025352","Gdf11","growth differentiation factor 11"
"chr10",128910281,128910990,710,"*","ZF11_Nfiabx_peak_901",73,".",6.42667,10.7808,7.3344,576,"Promoter (<=1kb)",10,128910622,128912063,1442,1,"12512","ENSMUST00000218450.1",0,"ENSMUSG00000025351","Cd63","CD63 antigen"
"chr10",128918390,128918723,334,"*","ZF11_Nfiabx_peak_902",83,".",6.85512,11.8621,8.35364,202,"Promoter (<=1kb)",10,128917924,128918705,782,2,"19682","ENSMUST00000145616.1",0,"ENSMUSG00000025350","Rdh5","retinol dehydrogenase 5"
"chr10",128922862,128923875,1014,"*","ZF11_Nfiabx_peak_903",926,".",31.2765,97.0849,92.6685,601,"Promoter (<=1kb)",10,128917882,128923524,5643,2,"14533","ENSMUST00000153731.7",0,"ENSMUSG00000090247","Bloc1s1","biogenesis of lysosomal organelles complex-1, subunit 1"
"chr10",128928332,128928727,396,"*","ZF11_Nfiabx_peak_904",36,".",4.71289,6.75304,3.61141,365,"Distal Intergenic",10,128919947,128924035,4089,2,"14533","ENSMUST00000131271.1",-4297,"ENSMUSG00000090247","Bloc1s1","biogenesis of lysosomal organelles complex-1, subunit 1"
"chr11",3100015,3104742,4728,"*","ZF11_Nfiabx_peak_905",1491,".",44.5583,153.57,149.102,2300,"Distal Intergenic",11,3125904,3129396,3493,1,"236604","ENSMUST00000145164.7",-21162,"ENSMUSG00000121500","Pisd-ps1","phosphatidylserine decarboxylase, pseudogene 1"
"chr11",3122192,3122617,426,"*","ZF11_Nfiabx_peak_906",83,".",6.85512,11.8621,8.35364,354,"Distal Intergenic",11,3125904,3129396,3493,1,"236604","ENSMUST00000145164.7",-3287,"ENSMUSG00000121500","Pisd-ps1","phosphatidylserine decarboxylase, pseudogene 1"
"chr11",3123554,3124216,663,"*","ZF11_Nfiabx_peak_907",544,".",21.4222,58.7928,54.4951,484,"Promoter (1-2kb)",11,3125904,3129396,3493,1,"236604","ENSMUST00000145164.7",-1688,"ENSMUSG00000121500","Pisd-ps1","phosphatidylserine decarboxylase, pseudogene 1"
"chr11",3125327,3148817,23491,"*","ZF11_Nfiabx_peak_908",1193,".",37.7031,123.827,119.378,7600,"Promoter (<=1kb)",11,3125904,3129396,3493,1,"236604","ENSMUST00000145164.7",0,"ENSMUSG00000121500","Pisd-ps1","phosphatidylserine decarboxylase, pseudogene 1"
"chr11",3152147,3200046,47900,"*","ZF11_Nfiabx_peak_909",1415,".",42.8445,146.027,141.563,10080,"Promoter (<=1kb)",11,3131850,3189056,57207,2,"78887","ENSMUST00000101655.9",0,"ENSMUSG00000023764","Sfi1","Sfi1 homolog, spindle assembly associated (yeast)"
"chr11",3202106,3202583,478,"*","ZF11_Nfiabx_peak_910",53,".",5.56978,8.70334,5.39692,381,"Promoter (<=1kb)",11,3202392,3244581,42190,1,"74203","ENSMUST00000020734.10",0,"ENSMUSG00000020454","Eif4enif1","eukaryotic translation initiation factor 4E nuclear import factor 1"
"chr11",3289649,3290164,516,"*","ZF11_Nfiabx_peak_911",199,".",11.1396,23.9088,19.9918,313,"Promoter (<=1kb)",11,3289993,3295429,5437,1,"56218","ENSMUST00000094471.9",0,"ENSMUSG00000020453","Patz1","POZ (BTB) and AT hook containing zinc finger 1"
"chr11",3396383,3396700,318,"*","ZF11_Nfiabx_peak_913",36,".",4.71289,6.75304,3.61141,384,"Intron (ENSMUST00000101638.3/16886, intron 1 of 15)",11,3344256,3409174,64919,2,"16886","ENSMUST00000101638.3",12474,"ENSMUSG00000020451","Limk2","LIM domain kinase 2"
"chr11",3902991,3903485,495,"*","ZF11_Nfiabx_peak_914",162,".",9.85423,20.0883,16.2653,249,"Distal Intergenic",11,3895240,3901296,6057,1,"75219","ENSMUST00000055931.4",7751,"ENSMUSG00000047205","Dusp18","dual specificity phosphatase 18"
"chr11",4096450,4096915,466,"*","ZF11_Nfiabx_peak_915",53,".",5.56978,8.70334,5.39692,128,"Promoter (1-2kb)",11,4091480,4095445,3966,2,"67900","ENSMUST00000004868.5",-1005,"ENSMUSG00000004748","Mtfp1","mitochondrial fission process 1"
"chr11",4291633,4292109,477,"*","ZF11_Nfiabx_peak_918",53,".",5.56978,8.70334,5.39692,156,"Distal Intergenic",11,4267095,4272514,5420,1,"16878","ENSMUST00000040750.3",24538,"ENSMUSG00000034394","Lif","leukemia inhibitory factor"
"chr11",4704359,4704585,227,"*","ZF11_Nfiabx_peak_919",63,".",5.99823,9.72728,6.34853,73,"Promoter (<=1kb)",11,4701973,4704342,2370,2,"66152","ENSMUST00000058407.5",-17,"ENSMUSG00000059534","Uqcr10","ubiquinol-cytochrome c reductase, complex III subunit X"
"chr11",5444785,5445091,307,"*","ZF11_Nfiabx_peak_925",63,".",5.99823,9.72728,6.34853,222,"Promoter (<=1kb)",11,5276324,5444847,168524,2,"407821","ENSMUST00000109867.7",0,"ENSMUSG00000041961","Znrf3","zinc and ring finger 3"
"chr11",6000484,6000753,270,"*","ZF11_Nfiabx_peak_927",36,".",4.71289,6.75304,3.61141,89,"Promoter (<=1kb)",11,5990395,6000448,10054,2,"12323","ENSMUST00000130427.7",-36,"ENSMUSG00000057897","Camk2b","calcium/calmodulin-dependent protein kinase II, beta"
"chr11",6291412,6292137,726,"*","ZF11_Nfiabx_peak_928",225,".",11.9965,26.5385,22.5691,329,"Promoter (<=1kb)",11,6291633,6356642,65010,1,"18293","ENSMUST00000003461.14",0,"ENSMUSG00000020456","Ogdh","oxoglutarate (alpha-ketoglutarate) dehydrogenase (lipoamide)"
"chr11",6389075,6389306,232,"*","ZF11_Nfiabx_peak_929",36,".",4.71289,6.75304,3.61141,181,"Promoter (<=1kb)",11,6389074,6406158,17085,1,"52915","ENSMUST00000109787.7",1,"ENSMUSG00000041164","Zmiz2","zinc finger, MIZ-type containing 2"
"chr11",6444138,6444707,570,"*","ZF11_Nfiabx_peak_930",225,".",11.9965,26.5385,22.5691,223,"Promoter (<=1kb)",11,6427229,6444443,17215,2,"77605","ENSMUST00000109737.8",0,"ENSMUSG00000041126","H2az2","H2A.Z histone variant 2"
"chr11",6546179,6546799,621,"*","ZF11_Nfiabx_peak_931",212,".",11.568,25.2158,21.2721,469,"Promoter (<=1kb)",11,6546887,6596744,49858,1,"216527","ENSMUST00000000388.14",-88,"ENSMUSG00000000378","Ccm2","cerebral cavernous malformation 2"
"chr11",6625844,6626217,374,"*","ZF11_Nfiabx_peak_932",44,".",5.14134,7.71111,4.48386,145,"Promoter (<=1kb)",11,6615598,6626043,10446,2,"21379","ENSMUST00000156969.7",0,"ENSMUSG00000000384","Tbrg4","transforming growth factor beta regulated gene 4"
"chr11",8445950,8446456,507,"*","ZF11_Nfiabx_peak_933",53,".",5.56978,8.70334,5.39692,93,"Intron (ENSMUST00000239091.1/319939, intron 24 of 30)",11,8451070,8468675,17606,2,"319939","ENSMUST00000129074.1",22219,"ENSMUSG00000020422","Tns3","tensin 3"
"chr11",8523509,8523986,478,"*","ZF11_Nfiabx_peak_936",44,".",5.14134,7.71111,4.48386,376,"Intron (ENSMUST00000239091.1/319939, intron 13 of 30)",11,8537539,8545351,7813,2,"319939","ENSMUST00000131941.1",21365,"ENSMUSG00000020422","Tns3","tensin 3"
"chr11",11788622,11788883,262,"*","ZF11_Nfiabx_peak_937",150,".",9.42579,18.8507,15.0624,132,"Exon (ENSMUST00000152345.7/60530, exon 4 of 4)",11,11787431,11808925,21495,2,"60530","ENSMUST00000152345.7",20042,"ENSMUSG00000035455","Fignl1","fidgetin-like 1"
"chr11",12231404,12232183,780,"*","ZF11_Nfiabx_peak_939",138,".",8.99734,17.6322,13.8819,371,"Distal Intergenic",11,12296363,12369640,73278,2,"12808","ENSMUST00000136549.7",137457,"ENSMUSG00000020173","Cobl","cordon-bleu WH2 repeat"
"chr11",16591478,16592012,535,"*","ZF11_Nfiabx_peak_940",94,".",7.28356,12.9693,9.40496,352,"Distal Intergenic",11,16501638,16508484,6847,2,"20335","ENSMUST00000178855.7",-82994,"ENSMUSG00000078974","Sec61g","SEC61 translocon subunit gamma"
"chr11",16848645,16849304,660,"*","ZF11_Nfiabx_peak_941",174,".",10.2827,21.3444,17.4888,290,"Intron (ENSMUST00000102884.9/13649, intron 1 of 15)",11,16878150,16884357,6208,1,"13649","ENSMUST00000125984.1",-28846,"ENSMUSG00000020122","Egfr","epidermal growth factor receptor"
"chr11",17305917,17306543,627,"*","ZF11_Nfiabx_peak_943",407,".",17.5662,44.9581,40.759,512,"Distal Intergenic",11,17263621,17266560,2940,1,"57316","ENSMUST00000130330.1",42296,"ENSMUSG00000000581","C1d","C1D nuclear receptor co-repressor"
"chr11",19924150,19924408,259,"*","ZF11_Nfiabx_peak_948",115,".",8.14045,15.2565,11.5908,244,"Promoter (<=1kb)",11,19924375,20024026,99652,1,"114716","ENSMUST00000093299.12",0,"ENSMUSG00000045671","Spred2","sprouty-related EVH1 domain containing 2"
"chr11",20201125,20201388,264,"*","ZF11_Nfiabx_peak_949",53,".",5.56978,8.70334,5.39692,85,"Promoter (<=1kb)",11,20201432,20226856,25425,1,"19324","ENSMUST00000020358.11",-44,"ENSMUSG00000020149","Rab1a","RAB1A, member RAS oncogene family"
"chr11",20332776,20333425,650,"*","ZF11_Nfiabx_peak_950",349,".",15.8525,39.0715,34.928,329,"Promoter (<=1kb)",11,20302180,20332713,30534,2,"55963","ENSMUST00000109594.7",-63,"ENSMUSG00000020142","Slc1a4","solute carrier family 1 (glutamate/neutral amino acid transporter), member 4"
"chr11",20396022,20396518,497,"*","ZF11_Nfiabx_peak_951",73,".",6.42667,10.7808,7.3344,350,"Distal Intergenic",11,20302180,20332713,30534,2,"55963","ENSMUST00000109594.7",-63309,"ENSMUSG00000020142","Slc1a4","solute carrier family 1 (glutamate/neutral amino acid transporter), member 4"
"chr11",20460544,20460999,456,"*","ZF11_Nfiabx_peak_952",94,".",7.28356,12.9693,9.40496,231,"Distal Intergenic",11,20543253,20597020,53768,1,"58172","ENSMUST00000145328.1",-82254,"ENSMUSG00000049800","Sertad2","SERTA domain containing 2"
"chr11",20477336,20477612,277,"*","ZF11_Nfiabx_peak_953",83,".",6.85512,11.8621,8.35364,169,"Distal Intergenic",11,20543253,20597020,53768,1,"58172","ENSMUST00000145328.1",-65641,"ENSMUSG00000049800","Sertad2","SERTA domain containing 2"
"chr11",20542751,20543412,662,"*","ZF11_Nfiabx_peak_954",187,".",10.7111,22.6181,18.732,241,"Promoter (<=1kb)",11,20543253,20597020,53768,1,"58172","ENSMUST00000145328.1",0,"ENSMUSG00000049800","Sertad2","SERTA domain containing 2"
"chr11",20858784,20859506,723,"*","ZF11_Nfiabx_peak_956",127,".",8.5689,16.4338,12.7248,510,"Distal Intergenic",11,20829312,20831056,1745,2,"216551","ENSMUST00000154300.7",-27728,"ENSMUSG00000042363","Lgalsl","galectin like"
"chr11",21374040,21374564,525,"*","ZF11_Nfiabx_peak_958",53,".",5.56978,8.70334,5.39692,146,"Promoter (2-3kb)",11,21321673,21371201,49529,2,"216558","ENSMUST00000060895.5",-2839,"ENSMUSG00000001891","Ugp2","UDP-glucose pyrophosphorylase 2"
"chr11",22001419,22002130,712,"*","ZF11_Nfiabx_peak_960",83,".",6.85512,11.8621,8.35364,447,"Promoter (<=1kb)",11,21994764,22001615,6852,2,"18423","ENSMUST00000006071.13",0,"ENSMUSG00000005917","Otx1","orthodenticle homeobox 1"
"chr11",22287115,22287397,283,"*","ZF11_Nfiabx_peak_962",104,".",7.71201,14.1013,10.4844,199,"Promoter (<=1kb)",11,22005828,22286795,280968,2,"216565","ENSMUST00000180360.7",-320,"ENSMUSG00000042302","Ehbp1","EH domain binding protein 1"
"chr11",23255440,23255958,519,"*","ZF11_Nfiabx_peak_963",187,".",10.7111,22.6181,18.732,192,"Promoter (<=1kb)",11,23256041,23297597,41557,1,"103573","ENSMUST00000020538.12",-83,"ENSMUSG00000020290","Xpo1","exportin 1"
"chr11",23665938,23666339,402,"*","ZF11_Nfiabx_peak_965",63,".",5.99823,9.72728,6.34853,241,"Promoter (<=1kb)",11,23646479,23665959,19481,2,"72129","ENSMUST00000020523.3",0,"ENSMUSG00000020283","Pex13","peroxisomal biogenesis factor 13"
"chr11",23770593,23771364,772,"*","ZF11_Nfiabx_peak_966",63,".",5.99823,9.72728,6.34853,300,"Promoter (<=1kb)",11,23736847,23770970,34124,2,"19696","ENSMUST00000102864.4",0,"ENSMUSG00000020275","Rel","reticuloendotheliosis oncogene"
"chr11",24315952,24316314,363,"*","ZF11_Nfiabx_peak_967",63,".",5.99823,9.72728,6.34853,254,"Distal Intergenic",11,24481909,24569952,88044,1,"71316","ENSMUST00000152726.1",-165595,"ENSMUSG00000086892","4933430M04Rik","RIKEN cDNA 4933430M04 gene"
"chr11",29428868,29429179,312,"*","ZF11_Nfiabx_peak_969",27,".",4.28445,5.832,2.78434,29,"Intron (ENSMUST00000040182.12/108686, intron 5 of 31)",11,29456496,29461228,4733,1,"108686","ENSMUST00000137227.1",-27317,"ENSMUSG00000032740","Ccdc88a","coiled coil domain containing 88A"
"chr11",29692679,29693355,677,"*","ZF11_Nfiabx_peak_970",104,".",7.71201,14.1013,10.4844,410,"Promoter (<=1kb)",11,29692947,29742916,49970,1,"68585","ENSMUST00000102842.9",0,"ENSMUSG00000020458","Rtn4","reticulon 4"
"chr11",31679989,31680596,608,"*","ZF11_Nfiabx_peak_972",279,".",13.7102,31.9764,27.9182,255,"Distal Intergenic",11,31665181,31671885,6705,2,"69556","ENSMUST00000058060.13",-8104,"ENSMUSG00000044502","Bod1","biorientation of chromosomes in cell division 1"
"chr11",31713035,31714105,1071,"*","ZF11_Nfiabx_peak_973",407,".",17.5662,44.9581,40.759,716,"Distal Intergenic",11,31665181,31671885,6705,2,"69556","ENSMUST00000058060.13",-41150,"ENSMUSG00000044502","Bod1","biorientation of chromosomes in cell division 1"
"chr11",31838453,31838949,497,"*","ZF11_Nfiabx_peak_976",150,".",9.42579,18.8507,15.0624,300,"Distal Intergenic",11,31800688,31824524,23837,2,"414116","ENSMUST00000134944.1",-13929,"ENSMUSG00000085772","D630024D03Rik","RIKEN cDNA D630024D03 gene"
"chr11",31870432,31871124,693,"*","ZF11_Nfiabx_peak_977",94,".",7.28356,12.9693,9.40496,195,"Promoter (1-2kb)",11,31872211,31931577,59367,1,"67579","ENSMUST00000020543.12",-1087,"ENSMUSG00000020300","Cpeb4","cytoplasmic polyadenylation element binding protein 4"
"chr11",31907647,31907891,245,"*","ZF11_Nfiabx_peak_978",36,".",4.71289,6.75304,3.61141,281,"Intron (ENSMUST00000020543.12/67579, intron 2 of 9)",11,31873275,31935634,62360,1,"67579","ENSMUST00000155278.1",34372,"ENSMUSG00000020300","Cpeb4","cytoplasmic polyadenylation element binding protein 4"
"chr11",32224398,32224861,464,"*","ZF11_Nfiabx_peak_979",104,".",7.71201,14.1013,10.4844,315,"Promoter (1-2kb)",11,32226505,32232022,5518,1,"268395","ENSMUST00000142964.7",-1644,"ENSMUSG00000020287","Mpg","N-methylpurine-DNA glycosylase"
"chr11",32235558,32236319,762,"*","ZF11_Nfiabx_peak_980",63,".",5.99823,9.72728,6.34853,172,"Promoter (1-2kb)",11,32232935,32234401,1467,2,"17168","ENSMUST00000148636.1",-1157,"ENSMUSG00000020289","Nprl3","nitrogen permease regulator-like 3"
"chr11",32363623,32364024,402,"*","ZF11_Nfiabx_peak_981",44,".",5.14134,7.71111,4.48386,352,"Intron (ENSMUST00000038753.5/268396, intron 1 of 12)",11,32347840,32390300,42461,1,"268396","ENSMUST00000138771.1",15783,"ENSMUSG00000040711","Sh3pxd2b","SH3 and PX domains 2B"
"chr11",32383524,32384336,813,"*","ZF11_Nfiabx_peak_982",138,".",8.99734,17.6322,13.8819,553,"Intron (ENSMUST00000038753.5/268396, intron 3 of 12)",11,32347840,32390300,42461,1,"268396","ENSMUST00000138771.1",35684,"ENSMUSG00000040711","Sh3pxd2b","SH3 and PX domains 2B"
"chr11",32546392,32546709,318,"*","ZF11_Nfiabx_peak_983",53,".",5.56978,8.70334,5.39692,122,"Intron (ENSMUST00000102821.3/20868, intron 1 of 18)",11,32533305,32624587,91283,1,"20868","ENSMUST00000102821.3",13087,"ENSMUSG00000020272","Stk10","serine/threonine kinase 10"
"chr11",34176223,34176811,589,"*","ZF11_Nfiabx_peak_985",73,".",6.42667,10.7808,7.3344,360,"Distal Intergenic",11,34204338,34208089,3752,2,"14233","ENSMUST00000060271.2",31278,"ENSMUSG00000047861","Foxi1","forkhead box I1"
"chr11",34544334,34544880,547,"*","ZF11_Nfiabx_peak_987",94,".",7.28356,12.9693,9.40496,233,"Intron (ENSMUST00000093193.11/94176, intron 22 of 51)",11,34361959,34688479,326521,2,"94176","ENSMUST00000101364.2",143599,"ENSMUSG00000020143","Dock2","dedicator of cyto-kinesis 2"
"chr11",34681801,34682441,641,"*","ZF11_Nfiabx_peak_988",174,".",10.2827,21.3444,17.4888,180,"Intron (ENSMUST00000093193.11/94176, intron 22 of 51)",11,34361959,34688479,326521,2,"94176","ENSMUST00000101364.2",6038,"ENSMUSG00000020143","Dock2","dedicator of cyto-kinesis 2"
"chr11",35283858,35284214,357,"*","ZF11_Nfiabx_peak_989",44,".",5.14134,7.71111,4.48386,200,"Intron (ENSMUST00000069837.3/20564, intron 4 of 35)",11,35177783,35510128,332346,1,"20564","ENSMUST00000153098.1",106075,"ENSMUSG00000056427","Slit3","slit guidance ligand 3"
"chr11",35407806,35408028,223,"*","ZF11_Nfiabx_peak_990",150,".",9.42579,18.8507,15.0624,84,"Intron (ENSMUST00000069837.3/20564, intron 4 of 35)",11,35544685,35612636,67952,1,"20564","ENSMUST00000124438.1",-136657,"ENSMUSG00000056427","Slit3","slit guidance ligand 3"
"chr11",35856679,35857283,605,"*","ZF11_Nfiabx_peak_992",127,".",8.5689,16.4338,12.7248,427,"Intron (ENSMUST00000018993.6/211652, intron 17 of 22)",11,35852195,35853554,1360,2,"211652","ENSMUST00000131001.1",-3125,"ENSMUSG00000018849","Wwc1","WW, C2 and coiled-coil domain containing 1"
"chr11",35933539,35934124,586,"*","ZF11_Nfiabx_peak_994",63,".",5.99823,9.72728,6.34853,158,"Intron (ENSMUST00000018993.6/211652, intron 1 of 22)",11,35838400,35980527,142128,2,"211652","ENSMUST00000018993.6",46403,"ENSMUSG00000018849","Wwc1","WW, C2 and coiled-coil domain containing 1"
"chr11",35976446,35976955,510,"*","ZF11_Nfiabx_peak_995",115,".",8.14045,15.2565,11.5908,145,"Intron (ENSMUST00000018993.6/211652, intron 1 of 22)",11,35838400,35980527,142128,2,"211652","ENSMUST00000018993.6",3572,"ENSMUSG00000018849","Wwc1","WW, C2 and coiled-coil domain containing 1"
"chr11",40733640,40733869,230,"*","ZF11_Nfiabx_peak_997",104,".",7.71201,14.1013,10.4844,128,"Promoter (<=1kb)",11,40733667,40740046,6380,1,"52653","ENSMUST00000020578.10",0,"ENSMUSG00000020328","Nudcd2","NudC domain containing 2"
"chr11",43548076,43548739,664,"*","ZF11_Nfiabx_peak_998",53,".",5.56978,8.70334,5.39692,138,"Intron (ENSMUST00000050574.6/380694, intron 2 of 5)",11,43529246,43556689,27444,1,"380694","ENSMUST00000152153.1",18830,"ENSMUSG00000044707","Ccnjl","cyclin J-like"
"chr11",43681635,43681928,294,"*","ZF11_Nfiabx_peak_999",138,".",8.99734,17.6322,13.8819,126,"Promoter (<=1kb)",11,43681998,43707191,25194,1,"70802","ENSMUST00000061070.5",-70,"ENSMUSG00000044950","Pwwp2a","PWWP domain containing 2A"
"chr11",48817056,48817417,362,"*","ZF11_Nfiabx_peak_1004",174,".",10.2827,21.3444,17.4888,211,"Promoter (<=1kb)",11,48806404,48817353,10950,2,"211007","ENSMUST00000047145.13",0,"ENSMUSG00000040365","Trim41","tripartite motif-containing 41"
"chr11",49243451,49244486,1036,"*","ZF11_Nfiabx_peak_1006",94,".",7.28356,12.9693,9.40496,268,"Promoter (<=1kb)",11,49244191,49263022,18832,1,"17308","ENSMUST00000167400.7",0,"ENSMUSG00000020346","Mgat1","mannoside acetylglucosaminyltransferase 1"
"chr11",50292248,50292435,188,"*","ZF11_Nfiabx_peak_1008",63,".",5.99823,9.72728,6.34853,54,"Promoter (<=1kb)",11,50255634,50292311,36678,2,"103806","ENSMUST00000059458.4",0,"ENSMUSG00000050567","Maml1","mastermind like transcriptional coactivator 1"
"chr11",50325858,50326101,244,"*","ZF11_Nfiabx_peak_1009",53,".",5.56978,8.70334,5.39692,65,"Promoter (<=1kb)",11,50294467,50325673,31207,2,"12330","ENSMUST00000020637.8",-185,"ENSMUSG00000020368","Canx","calnexin"
"chr11",50377522,50378431,910,"*","ZF11_Nfiabx_peak_1010",187,".",10.7111,22.6181,18.732,308,"Promoter (<=1kb)",11,50377719,50386527,8809,1,"59013","ENSMUST00000069304.13",0,"ENSMUSG00000007850","Hnrnph1","heterogeneous nuclear ribonucleoprotein H1"
"chr11",50624456,50624614,159,"*","ZF11_Nfiabx_peak_1011",53,".",5.56978,8.70334,5.39692,109,"Intron (ENSMUST00000142118.2/216725, intron 2 of 20)",11,50602084,50807573,205490,1,"216725","ENSMUST00000040523.8",22372,"ENSMUSG00000036545","Adamts2","ADAM metallopeptidase with thrombospondin type 1 motif 2"
"chr11",51688587,51689132,546,"*","ZF11_Nfiabx_peak_1012",162,".",9.85423,20.0883,16.2653,402,"Promoter (<=1kb)",11,51685386,51688653,3268,2,"66050","ENSMUST00000007921.8",0,"ENSMUSG00000007777","Trappc2b","trafficking protein particle complex 2B"
"chr11",52000451,52001111,661,"*","ZF11_Nfiabx_peak_1013",306,".",14.5671,34.7771,30.6817,93,"Promoter (<=1kb)",11,51985497,52000484,14988,2,"22210","ENSMUST00000020657.12",0,"ENSMUSG00000020390","Ube2b","ubiquitin-conjugating enzyme E2B"
"chr11",54140031,54140691,661,"*","ZF11_Nfiabx_peak_1017",1085,".",35.1325,112.986,108.548,210,"Distal Intergenic",11,54127693,54131665,3973,1,"18452","ENSMUST00000139315.1",12338,"ENSMUSG00000018906","P4ha2","procollagen-proline, 2-oxoglutarate 4-dioxygenase (proline 4-hydroxylase), alpha II polypeptide"
"chr11",54311939,54312389,451,"*","ZF11_Nfiabx_peak_1018",83,".",6.85512,11.8621,8.35364,134,"Promoter (1-2kb)",11,54313677,54325107,11431,1,"216739","ENSMUST00000149403.7",-1288,"ENSMUSG00000020333","Acsl6","acyl-CoA synthetase long-chain family member 6"
"chr11",55023205,55023618,414,"*","ZF11_Nfiabx_peak_1020",53,".",5.56978,8.70334,5.39692,209,"Intron (ENSMUST00000102727.2/11749, intron 1 of 24)",11,54990950,55033415,42466,2,"11749","ENSMUST00000148298.1",9797,"ENSMUSG00000018340","Anxa6","annexin A6"
"chr11",55519158,55519340,183,"*","ZF11_Nfiabx_peak_1024",44,".",5.14134,7.71111,4.48386,43,"Intron (ENSMUST00000152968.1/ENSMUST00000152968.1, intron 1 of 1)",11,55501226,55501281,56,1,"102465760","ENSMUST00000185156.1",17932,"ENSMUSG00000098906","Mir7652","microRNA 7652"
